POST_NUMBER;RIVER;POST_STATION_NAME;LON;LAT;SIZE;YEAR_BUILT;BUILT_BY;PROVINCE;DISTRICT;SUBDISTRICT;VILLAGE;SUBVILLAGE;YEAR_RANGE;DATA_COUNT
02-016-14-01;CITARUM;CITARUM-TANJUNGPURA;107.26666666666667;-6.2725;6063.3;2008;BBWS CITARUM;JAWA BARAT;KARAWANG;KARAWANG BARAT;TANJUNGMEKAR;TANJUNGMEKAR;1970 - 2013;18
02-092-06-01;CITANDUY;CITANDUY - KARANGSARI;108.7125;-7.455277777777778;2682;1971;DPMA;JAWA BARAT;CILACAP;;;;1980 - 2013;18
02-016-04-11;CITARUM;CITARIK-RANCAKEMIT;107.72666666666667;-6.995277777777778;263.8;1987;PSAPB  ;JAWA BARAT;BANDUNG;RANCAEKEK;RANCAKEMIT;RANCAKEMIT;1986 - 2000;7
02-010-03-04;S.CISADANE;CISADANE-GENTENG;106.80555555555556;-8.63888888888889;185;1992;JUDP;JAWA BARAT;BOGOR;-;-;GENTENG;1991 - 2013;19
02-010-03-02;CISADANE;CISADANE-LEGOKMUNCANG;106.80749999999999;-6.639722222222222;196;1975;DPMA;JAWA BARAT;BOGOR;CIAWI;CIPAKU;LEGOK MUNCANG;1976 - 2012;33
02-010-03-01;CISADANE;CISADANE-BD_EMPANG_KANAN;106.81055555555555;-6.655;204;2007;BALAI CILIWUNG-CISADANE;JAWA BARAT;BOGOR;BOGOR BARAT;PASIR JAYA;MUARA BAWAH;1991 - 2013;5
02-010-03-01;CISADANE;CISADANE-BATUBELAH;106.67777777777778;-6.513888888888889;819.6;1969;DPMA;JAWA BARAT;BOGOR;RUMPIN;CIBALIUNG;CIBALIUNG;1970 - 2012;44
02-031-01-01;CISANGGARUNG;CISANGGARUNG-CILENGKRANG;108.7388888888889;-6.915;644.35;1968;DPMA;JAWA BARAT;CIREBON;CILEDUG;CISANGGARUNG;CISANGGARUNG;1973 - 1977;5
00-000-00-00;CISANGGARUNG;CISANGGARUNG-MUARA_CISRIGADING;;;100;2007;BPSDA WS CIMANUK-CISANGGARUNG;JAWA BARAT;KUNINGAN;SOKAGARA;PANGBUYUTAN;PANGBUYUTAN;2013;1
02-010-03-12;CISADANE;CISADANE-BD_PASAR_BARU;106.63444444444445;-6.167222222222223;;1990;JUDP;JAWA BARAT;TANGERANG;;;;1991 - 1992;2
02-010-03-08;CISADANE;CISADANE-SERPONG;106.6438888888889;-6.310277777777777;;1992;JUDP;JAWA BARAT;TENGGARONG;;;;1992 - 1993;2
02-031-01-05;CISANGGARUNG;CISANGGARUNG-DARMA;108.41666666666667;-6.15;500;;;JAWA BARAT;KUNINGAN;;;;2006;1
02-031-01-02;CISANGGARUNG;CISANGGARUNG-JEMBATAN_LOSARI;;;834.9;;PSDA JABAR;JAWA BARAT;;;;;2006;1
02-016-04-12;CITARUM;CITARUM-MAHMUD ;108.54444444444444;-6.976944444444444;1667.5;1986;DPMA;JAWA BARAT;BANDUNG;;;;1986 - 1994;7
02-026-01-04;CIMANUK;CITATAH-PASANGGRAHAN ;108.01722222222222;-7.171944444444445;3.31;1993;RLKT KEHUTANAN CIMANUK                     ;JAWA BARAT;GARUT;;;;1977;1
02-031-02-01;CISANGGARUNG;CISANGGARUNG-PASURUAN;108.80472222222222;-6.855833333333333;826;1968;DPMA;JAWA BARAT;CIREBON;;;;1975 - 1983;9
02-092-03-01;CITANDUY;CITANDUY-CIKAWUNG;108.67777777777778;-7.374722222222222;2636.6;1969;DPMA;JAWA BARAT;CIAMIS;;;;1978 - 1999;10
02-092-01-05;CITANDUY;CITANDUY-LEUWITONJONG;108.22611111111111;-7.3;444.8;1970;DPMA;JAWA BARAT;TASIKMALAYA;;;;1970 - 2010;22
02-016-14-02;CITARUM;CITARUM-TUNGGAKJATI;107.27277777777778;-6.258055555555556;7362.5;1980;PROSIJAT;JAWA BARAT;KARAWANG;;;;1986;1
-;CIMANUK;CIMANUK-CIBATU;;;100;2005;PI PWS CIMANUK-CISANGGARUNG;JAWA BARAT;GARUT;CIBATU;SINDANGSUKA;;2014 - 2015;3
02-016-03-02;CITARUM;CIWIDEY-CIBEUREUM;107.3;-6.183333333333334;200.8;2008;BBWS CITARUM;JAWA BARAT;BANDUNG;PANGALENGAN;;;2015 - 2016;2
;;CIKASO-GIMBAL;;;;;;JAWA BARAT;;;;;2016;1
;;CIKAWUNG-PITULASI;;;;;;JAWA BARAT;;;;;2016;1
;;CILIUNG-TENJOLAYA;;;;;;JAWA BARAT;;;;;2016;1
;;CITANDUY-CIPADUNG;;;;;;JAWA BARAT;;;;;2016;1
;;CIBODAS-CIBODAS;;;;;;JAWA BARAT;;;;;2015 - 2016;2
;;CILUTUNG-KADUMALIK;;;;;;JAWA BARAT;;;;;2016;1
;;CIMANUK-CIPASANG;;;;;;JAWA BARAT;;;;;2016;1
;;CIPANCAR-CIBEDUG;;;;;;JAWA BARAT;;;;;2016;1
;;CISANGGARUNG-CILEDUG;;;;;;JAWA BARAT;;;;;2016;1
;;CIKARANG-CIKARANG;;;;;;JAWA BARAT;;;;;2015 - 2016;2
;;CIMANCEURI-CIKUDA;;;;;;JAWA BARAT;;;;;2015 - 2016;2
;;K.ANGKE-PARUNG;;;;;;JAWA BARAT;;;;;2015 - 2016;2
;;K.CIKEAS-CITUERUEP;;;;;;JAWA BARAT;;;;;2016;1
;;5. CIGEDE-KOMP.RADIO;;;;;;JAWA BARAT;;;;;2015 - 2016;2
;;CISOKAN-CIBANGSA;;;;;;JAWA BARAT;;;;;2015 - 2016;2
;;CITEPUS-CITEPUS P A M;;;;;;JAWA BARAT;;;;;2016;1
;;CIKALANG -CIBITUNG ;;;;;;JAWA BARAT;;;;;2015 - 2016;2
;;CIPALEBUH-PANYIDANGAN;;;;;;JAWA BARAT;;;;;2015 - 2016;2
;;CISANGGIRI-JATIMULYA(CISOMPET) ;;;;;;JAWA BARAT;;;;;2016;1
;;CITANDUY-RAJAPOLAH ;;;;;;JAWA BARAT;;;;;2015 - 2016;2
;;CIJULANG-KERTAYASA;;;;;;JAWA BARAT;;;;;2015;1
;;CIDURIAN-BALAI CITARUM;;;;;;JAWA BARAT;;;;;2015;1
;;CICATIH-CIMANGGU( UBRUG );;;;;;JAWA BARAT;;;;;2015;1
